times,urls
2010-06-13T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100613_1800.h5
2010-06-14T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100614_0000.h5
2010-06-14T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100614_0600.h5
2010-06-14T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100614_1200.h5
2010-06-14T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100614_1800.h5
2010-06-15T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100615_0000.h5
2010-06-15T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100615_0600.h5
2010-06-15T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100615_1200.h5
2010-06-15T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100615_1800.h5
2010-06-16T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100616_0000.h5
2010-06-16T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100616_0600.h5
2010-06-16T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100616_1200.h5
2010-06-16T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100616_1800.h5
2010-06-17T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100617_0000.h5
2010-06-17T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100617_0600.h5
2010-06-17T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100617_1200.h5
2010-06-17T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100617_1800.h5
2010-06-18T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100618_0000.h5
2010-06-18T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100618_0600.h5
2010-06-18T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100618_1200.h5
2010-06-18T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100618_1800.h5
2010-06-19T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100619_0000.h5
2010-06-19T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100619_0600.h5
2010-06-19T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100619_1200.h5
2010-06-19T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100619_1800.h5
2010-06-20T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100620_0000.h5
2010-06-20T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100620_0600.h5
2010-06-20T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100620_1200.h5
2010-06-20T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100620_1800.h5
2010-06-21T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100621_0000.h5
2010-06-21T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100621_0600.h5
2010-06-21T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100621_1200.h5
2010-06-21T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100621_1800.h5
2010-06-22T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100622_0000.h5
2010-06-22T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100622_0600.h5
2010-06-22T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100622_1200.h5
2010-06-22T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100622_1800.h5
2010-06-23T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100623_0000.h5
2010-06-23T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100623_0600.h5
2010-06-23T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100623_1200.h5
2010-06-23T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100623_1800.h5
2010-06-24T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100624_0000.h5
2010-06-24T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100624_0600.h5
2010-06-24T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100624_1200.h5
2010-06-24T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100624_1800.h5
2010-06-25T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100625_0000.h5
2010-06-25T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100625_0600.h5
2010-06-25T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100625_1200.h5
2010-06-25T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100625_1800.h5
2010-06-26T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100626_0000.h5
2010-06-26T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100626_0600.h5
2010-06-26T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100626_1200.h5
2010-06-26T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100626_1800.h5
2010-06-27T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100627_0000.h5
2010-06-27T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100627_0600.h5
